1771296258.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,,-36.3
1771296263.000,"8832d0","TLM394  ",24.954758,121.095428,2375,143.4,172,0.260,-34.6
1771296263.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296263.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,,,-35.5
1771296263.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,,-36.3
1771296268.000,"8832d0","TLM394  ",24.954758,121.095428,2375,143.4,172,0.260,-36.0
1771296268.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296268.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,,,-35.5
1771296268.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,,-36.3
1771296273.000,"8832d0","TLM394  ",24.954758,121.095428,2375,143.4,172,0.260,-36.6
1771296273.000,"780ec4","N/A",25.202497,121.235167,5125,267.8,,,-37.1
1771296273.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,,,-35.5
1771296273.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,,-36.3
1771296278.000,"8832d0","TLM394  ",24.961263,121.104005,2250,143.4,172,0.260,-36.5
1771296278.000,"780ec4","N/A",25.202497,121.235167,5125,267.8,,,-37.2
1771296278.000,"780173","CPA410  ",25.000833,121.366485,37000,,,,-35.5
1771296283.000,"8832d0","TLM394  ",24.961263,121.104005,2250,143.4,172,0.260,-36.5
1771296283.000,"780ec4","N/A",25.202497,121.235167,5125,266.8,,,-37.1
1771296283.000,"780173","CPA410  ",25.000833,121.366485,37000,,,,-35.5
1771296288.000,"8832d0","TLM394  ",24.966431,121.110897,2250,143.4,172,0.260,-35.3
1771296288.000,"780ec4","N/A",25.202497,121.235167,5925,266.8,,,-37.2
1771296288.000,"780173","CPA410  ",25.000833,121.366485,37000,,,,-35.5
1771296293.000,"8832d0","TLM394  ",24.968674,121.113637,2250,137.8,172,0.260,-35.1
1771296293.000,"780ec4","N/A",25.202497,121.235167,6300,262.6,,,-36.7
1771296298.000,"a0687e","N125YU  ",24.830521,121.054077,6750,290.3,278,,-32.0
1771296298.000,"8832d0","TLM394  ",24.968674,121.113637,2250,138.5,172,0.260,-35.3
1771296298.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-36.7
1771296303.000,"a0687e","N125YU  ",24.834137,121.058451,6750,289.6,278,0.424,-32.9
1771296303.000,"8832d0","TLM394  ",24.972290,121.118266,2250,138.4,172,0.260,-35.2
1771296303.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-36.7
1771296308.000,"a0687e","N125YU  ",24.839343,121.064827,6775,289.6,278,0.424,-32.9
1771296308.000,"8832d0","TLM394  ",24.974857,121.121884,2250,137.0,172,0.252,-35.1
1771296308.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296313.000,"a0687e","N125YU  ",24.843842,121.070251,6775,290.3,280,0.428,-30.6
1771296313.000,"8832d0","TLM394  ",24.976905,121.124423,2250,136.2,166,0.252,-34.2
1771296313.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296318.000,"a0687e","N125YU  ",24.848374,121.075762,6750,289.6,282,0.428,-31.7
1771296318.000,"8832d0","TLM394  ",24.978790,121.126862,2225,137.9,164,0.252,-33.3
1771296318.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296323.000,"a0687e","N125YU  ",24.853029,121.081411,6750,287.4,282,0.432,-31.0
1771296323.000,"8832d0","TLM394  ",24.980667,121.129405,2150,138.4,166,0.252,-34.5
1771296323.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296328.000,"a0687e","N125YU  ",24.857312,121.086593,6750,284.6,276,0.424,-29.8
1771296328.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296328.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296333.000,"a0687e","N125YU  ",24.861740,121.091919,6775,285.3,276,0.424,-28.3
1771296333.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296333.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296338.000,"a0687e","N125YU  ",24.866204,121.097320,6775,286.0,278,0.424,-31.1
1771296338.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296338.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296343.000,"a0687e","N125YU  ",24.870859,121.102969,6775,286.0,278,0.424,-28.6
1771296343.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296343.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296348.000,"a0687e","N125YU  ",24.875142,121.108151,6750,286.8,278,0.428,-30.7
1771296348.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296348.000,"780ec4","N/A",25.252075,121.175639,6325,262.6,,,-37.0
1771296353.000,"a0687e","N125YU  ",24.879844,121.113851,6775,286.0,278,0.424,-30.2
1771296353.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296353.000,"780ec4","N/A",25.252075,121.175639,6325,,,,-37.0
1771296358.000,"a0687e","N125YU  ",24.884216,121.119181,6775,286.8,278,0.424,-30.5
1771296358.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296363.000,"a0687e","N125YU  ",24.889061,121.125045,6775,286.8,280,0.428,-33.3
1771296363.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296368.000,"a0687e","N125YU  ",24.893390,121.130331,6775,287.5,278,0.424,-32.3
1771296368.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296373.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,0.252,-35.2
1771296373.000,"a0687e","N125YU  ",24.897903,121.135813,6750,287.5,278,0.424,-32.0
1771296378.000,"8832d0","TLM394  ",24.981886,121.130953,2100,138.4,168,,-35.2
1771296378.000,"a0687e","N125YU  ",24.902069,121.140900,6725,288.2,278,0.428,-32.2
