1771344187.000,"71c300","TWB663  ",25.141421,121.134477,7700,263.6,282,0.432,-35.3,228.69,-1664,-1696,"4161","A3",2,1023.2,262,22,8175,1,8,3
1771344187.000,"71c056","TWB639  ",25.082748,121.400045,32000,371.8,464,,-35.9,229.80,0,,"7115","A3",2,1013.6,,,33550,1,8,3
1771344192.000,"71c300","TWB663  ",25.138115,121.130331,7575,264.3,282,0.432,-33.9,228.83,-1600,-1600,"4161","A3",2,1023.2,261,21,8050,1,8,3
1771344192.000,"71c056","TWB639  ",25.072906,121.387329,32000,372.5,464,,-34.1,229.68,0,,"7115","A3",2,1013.6,,,33550,1,8,3
1771344197.000,"71c300","TWB663  ",25.133274,121.124216,7425,265.1,282,0.432,-34.4,228.98,-1600,-1600,"4161","A3",2,1023.2,260,21,7875,1,8,3
1771344197.000,"71c056","TWB639  ",25.067170,121.379907,32000,372.5,464,0.772,-35.0,229.68,0,0,"7115","A3",2,1013.6,254,98,33550,1,8,3
1771344202.000,"71c300","TWB663  ",25.129395,121.119334,7300,265.1,282,0.432,-33.5,228.98,-1536,-1568,"4161","A3",2,1023.2,263,20,7750,1,8,3
1771344202.000,"71c056","TWB639  ",25.063751,121.375478,32000,372.5,464,0.772,-34.4,229.68,0,0,"7115","A3",2,1013.6,254,98,33550,1,8,3
1771344207.000,"71c300","TWB663  ",25.125313,121.114110,7175,265.1,282,0.432,-33.7,228.98,-1472,-1504,"4161","A3",2,1023.2,265,21,7625,1,8,3
1771344207.000,"71c056","TWB639  ",25.056610,121.366221,32000,372.5,464,0.772,-34.0,229.68,0,32,"7115","A3",2,1013.6,254,98,33550,1,8,3
1771344212.000,"71c300","TWB663  ",25.121429,121.109212,7050,265.1,282,0.432,-33.3,228.98,-1408,-1440,"4161","A3",2,1023.2,265,21,7500,1,8,3
1771344212.000,"71c056","TWB639  ",25.050737,121.358660,32000,372.5,464,0.772,-33.9,229.68,0,32,"7115","A3",2,1013.6,254,98,33550,1,8,3
1771344217.000,"71c300","TWB663  ",25.117306,121.104057,6925,265.1,280,0.432,-32.9,228.98,-1408,-1440,"4161","A3",2,1023.2,270,19,7375,1,8,3
1771344217.000,"71c056","TWB639  ",25.045212,121.351471,32000,372.5,464,0.772,-33.9,229.68,0,0,"7115","A3",2,1013.6,254,98,33550,1,8,3
1771344222.000,"71c300","TWB663  ",25.113281,121.098938,6800,264.4,280,0.428,-34.2,229.14,-1344,-1408,"4161","A3",2,1023.2,270,19,7250,1,8,3
1771344222.000,"71c056","TWB639  ",25.039704,121.344305,32000,372.5,464,0.776,-33.6,229.68,0,0,"7115","A3",2,1013.6,253,98,33550,1,8,3
1771344227.000,"71c300","TWB663  ",25.109206,121.093744,6725,264.4,278,0.428,-34.7,229.14,-1024,-1248,"4161","A3",2,1023.2,273,18,7175,1,8,3
1771344227.000,"71c056","TWB639  ",25.034071,121.337102,32000,372.5,464,0.776,-33.1,229.68,0,-32,"7115","A3",2,1013.6,253,98,33550,1,8,3
1771344232.000,"71c300","TWB663  ",25.107530,121.091620,6675,263.0,276,0.420,-35.4,229.16,-704,-768,"4161","A3",2,1023.2,276,18,7125,1,8,3
1771344232.000,"71c056","TWB639  ",25.028458,121.329803,32000,373.1,464,0.776,-35.3,229.57,0,-32,"7115","A3",2,1013.6,253,97,33550,1,8,3
1771344237.000,"71c300","TWB663  ",25.101929,121.084442,6600,259.7,272,0.416,-33.8,229.69,-512,-544,"4161","A3",2,1023.2,275,16,7025,1,8,3
1771344237.000,"71c056","TWB639  ",25.022827,121.322530,32000,373.1,464,0.776,-34.0,229.57,0,0,"7115","A3",2,1013.6,253,97,33550,1,8,3
1771344242.000,"71c300","TWB663  ",25.097946,121.079254,6550,256.9,270,0.416,-34.8,229.74,-448,-544,"4161","A3",2,1023.2,275,16,6975,1,8,3
1771344242.000,"71c056","TWB639  ",25.017266,121.315388,32000,373.9,464,0.776,-32.2,229.66,0,0,"7115","A3",2,1013.6,253,97,33550,1,8,3
1771344247.000,"71c300","TWB663  ",25.093984,121.074104,6525,256.9,270,0.416,-35.5,229.74,-448,-544,"4161","A3",2,1023.2,275,16,6950,1,8,3
1771344247.000,"71c056","TWB639  ",25.011749,121.308187,32000,373.9,464,0.776,-31.9,229.66,0,0,"7115","A3",2,1013.6,253,97,33550,1,8,3
