1771344132.000,71c300,TWB663  ,25.186437,121.191429,9100,9600,266.6,,288,0.448,229.26,,,,,-1600,-1472,,265,26,1023.2,,,4161,-34.9,,,1,8,,3,,,A3,,2
1771344137.000,71c300,TWB663  ,25.182404,121.186269,8950,9450,266.6,,288,0.448,229.26,,,,,-1600,-1472,,265,26,1023.2,,,4161,-35.0,,,1,8,,3,,,A3,,2
1771344142.000,71c300,TWB663  ,25.179016,121.181946,8850,9350,266.0,,288,0.448,229.42,,,,,-1536,-1472,,265,26,1023.2,,,4161,-35.2,,,1,8,,3,,,A3,,2
1771344147.000,71c300,TWB663  ,25.174622,121.176249,8700,9200,266.0,,288,0.448,229.42,,,,,-1408,-1472,,265,26,1023.2,,,4161,-36.0,,,1,8,,3,,,A3,,2
1771344152.000,71c300,TWB663  ,25.170731,121.171366,8600,9100,265.2,,288,0.448,229.28,,,,,-1472,-1472,,,,1023.2,,,4161,-35.4,,,1,8,,3,,,A3,,2
1771344157.000,71c300,TWB663  ,25.166466,121.165933,8450,8925,265.1,,288,0.440,228.98,,,,,-1536,-1536,,,,1023.2,,,4161,-35.4,,,1,8,,3,,,A3,,2
1771344162.000,71c300,TWB663  ,25.161575,121.159770,8300,8800,264.3,,284,0.440,228.83,,,,,-1664,-1632,,260,23,1023.2,,,4161,-33.8,,,1,8,,3,,,A3,,2
1771344167.000,71c300,TWB663  ,25.157528,121.154687,8175,8650,265.1,,284,0.436,228.98,,,,,-1216,-1280,,258,21,1023.2,,,4161,-33.5,,,1,8,,3,,,A3,,2
1771344172.000,71c300,TWB663  ,25.154297,121.150614,8100,8575,262.9,,284,0.436,228.86,,,,,-1088,-1056,,258,21,1023.2,,,4161,-34.6,,,1,8,,3,,,A3,,2
1771344177.000,71c300,TWB663  ,25.150219,121.145463,8000,8475,262.2,,282,0.432,228.71,,,,,-1536,-1280,,257,21,1023.2,,,4161,-33.3,,,1,8,,3,,,A3,,2
1771344182.000,71c300,TWB663  ,25.145370,121.139425,7825,8300,262.8,,282,0.432,228.55,,,,,-1728,-1632,,257,22,1023.2,,,4161,-34.9,,,1,8,,3,,,A3,,2
1771344182.000,71c056,TWB639  ,25.086116,121.404419,32000,33550,371.8,,464,,229.80,,,,,0,,,,,1013.6,,,7115,-35.4,,,1,8,,3,,,A3,,2
1771344187.000,71c300,TWB663  ,25.141421,121.134477,7700,8175,263.6,,282,0.432,228.69,,,,,-1664,-1696,,262,22,1023.2,,,4161,-35.3,,,1,8,,3,,,A3,,2
1771344187.000,71c056,TWB639  ,25.082748,121.400045,32000,33550,371.8,,464,,229.80,,,,,0,,,,,1013.6,,,7115,-35.9,,,1,8,,3,,,A3,,2
1771344192.000,71c300,TWB663  ,25.138115,121.130331,7575,8050,264.3,,282,0.432,228.83,,,,,-1600,-1600,,261,21,1023.2,,,4161,-33.9,,,1,8,,3,,,A3,,2
1771344192.000,71c056,TWB639  ,25.072906,121.387329,32000,33550,372.5,,464,,229.68,,,,,0,,,,,1013.6,,,7115,-34.1,,,1,8,,3,,,A3,,2
1771344197.000,71c300,TWB663  ,25.133274,121.124216,7425,7875,265.1,,282,0.432,228.98,,,,,-1600,-1600,,260,21,1023.2,,,4161,-34.4,,,1,8,,3,,,A3,,2
1771344197.000,71c056,TWB639  ,25.067170,121.379907,32000,33550,372.5,,464,0.772,229.68,,,,,0,0,,254,98,1013.6,,,7115,-35.0,,,1,8,,3,,,A3,,2
1771344202.000,71c300,TWB663  ,25.129395,121.119334,7300,7750,265.1,,282,0.432,228.98,,,,,-1536,-1568,,263,20,1023.2,,,4161,-33.5,,,1,8,,3,,,A3,,2
1771344202.000,71c056,TWB639  ,25.063751,121.375478,32000,33550,372.5,,464,0.772,229.68,,,,,0,0,,254,98,1013.6,,,7115,-34.4,,,1,8,,3,,,A3,,2
1771344207.000,71c300,TWB663  ,25.125313,121.114110,7175,7625,265.1,,282,0.432,228.98,,,,,-1472,-1504,,265,21,1023.2,,,4161,-33.7,,,1,8,,3,,,A3,,2
1771344207.000,71c056,TWB639  ,25.056610,121.366221,32000,33550,372.5,,464,0.772,229.68,,,,,0,32,,254,98,1013.6,,,7115,-34.0,,,1,8,,3,,,A3,,2
1771344212.000,71c300,TWB663  ,25.121429,121.109212,7050,7500,265.1,,282,0.432,228.98,,,,,-1408,-1440,,265,21,1023.2,,,4161,-33.3,,,1,8,,3,,,A3,,2
1771344212.000,71c056,TWB639  ,25.050737,121.358660,32000,33550,372.5,,464,0.772,229.68,,,,,0,32,,254,98,1013.6,,,7115,-33.9,,,1,8,,3,,,A3,,2
1771344217.000,71c300,TWB663  ,25.117306,121.104057,6925,7375,265.1,,280,0.432,228.98,,,,,-1408,-1440,,270,19,1023.2,,,4161,-32.9,,,1,8,,3,,,A3,,2
1771344217.000,71c056,TWB639  ,25.045212,121.351471,32000,33550,372.5,,464,0.772,229.68,,,,,0,0,,254,98,1013.6,,,7115,-33.9,,,1,8,,3,,,A3,,2
1771344222.000,71c300,TWB663  ,25.113281,121.098938,6800,7250,264.4,,280,0.428,229.14,,,,,-1344,-1408,,270,19,1023.2,,,4161,-34.2,,,1,8,,3,,,A3,,2
